Class_Name_1,URI_1,Instances_Names_1,Class_Name_2,URI_2,Instances_Names_2,Relation
actor,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:actor," jordi shoman ,  robert hales ,  jill haworth ",Bacteria,http://dbpedia.org/ontology/Bacteria," Salinispora arenicola ,  Kineosporiaceae ,  Acidimicrobium ",0
airport,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:airport," toulon airport ,  dubai aerospace enterprise ,  greenville county ",Actor,http://dbpedia.org/ontology/Actor," Ingrid Luterkort ,  Sally Geoghegan ,  Dag Malmberg ",0
airport,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:airport," wharton airport ,  skopje airport ,  skrydstrup airport ",Airport,http://dbpedia.org/ontology/Airport," Cranland Airport ,  Gao International Airport ,  DeFuniak Springs Airport ",1
airport,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:airport," hewanorra airport ,  tempelhof airport ,  bagley municipal airport ",Artery,http://dbpedia.org/ontology/Artery," Anterior auricular branches ,  Penile artery ,  Dorsal nasal artery ",0
airport,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:airport," san carlos airport ,  cabool memorial airport ,  yamagata airport ",Artwork,http://dbpedia.org/ontology/Artwork," Princess X ,  Madonna with the Long Neck ,  Extreme Unction, c. 1638-1640 ",0
airport,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:airport," honolulu county ,  anaktuvuk airport ,  houston hobby airport ",City,http://dbpedia.org/ontology/City," Gaastra, Michigan ,  Hollandale, Minnesota ,  Ardoch, North Dakota ",0
airport,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:airport," yaounde nsimalen airport ,  south carolina airports ,  mannheim airport ",Port,http://dbpedia.org/ontology/Port,,0
airport,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:airport," white county ,  la aurora international airport ,  kona airport ",Sport,http://dbpedia.org/ontology/Sport," Mouse racing ,  Scene statistics ,  Alpine snowboarding ",0
amphibian,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:amphibian," allen s slippery frog ,  san carlos treefrog ,  red diamond rattlesnake ",Amphibian,http://dbpedia.org/ontology/Amphibian," Hokkaidō frog ,  Two-spaded narrow-mouthed toad ,  Strabomantis biporcatus ",1
amphibian,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:amphibian," mexican leaf frogs ,  red racer snake ,  flat tailed horned lizard ",City,http://dbpedia.org/ontology/City," Elrosa, Minnesota ,  La Salle, Minnesota ,  Bryant, Arkansas ",0
amphibian,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:amphibian," rare amphibians ,  shining leaf frog ,  blood snake ",Reptile,http://dbpedia.org/ontology/Reptile," Paroedura ,  Cyrtopodion ,  Dongyangosaurus ",0
archaea,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:archaea," mometasone furoate cream ,  capstar ,  prescription disease ",Archaea,http://dbpedia.org/ontology/Archaea," Methanobrevibacter gottschalkii ,  Methanomicrobiaceae ,  Natronolimnobius ",1
archaea,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:archaea," lifestyle drugs ,  prescription cheap valium ,  vildagliptin ",Architect,http://dbpedia.org/ontology/Architect," William West Neve ,  John Assael ,  John Plaw ",0
archaea,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:archaea," prescription uk viagra ,  prescription tramadol order ,  practolol ",Chef,http://dbpedia.org/ontology/Chef," Eric Aubriot ,  Clare Smyth ,  Koumei Nakamura ",0
archaea,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:archaea," prescription freedom ,  prescription imitrex ,  hydrea ",ChemicalSubstance,http://dbpedia.org/ontology/ChemicalSubstance," Germanium difluoride ,  Chlorbisan ,  Dibutyltin dilaurate ",0
archaea,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:archaea," prescription side ,  prescription free trial ,  lipitor atorvastatin ",Drug,http://dbpedia.org/ontology/Drug," Phenaridine ,  Etidronic acid ,  RTI-32 ",0
architect,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:architect," william branham ,  master of affligem ,  francesco primaticcio detto il bologna ",Archaea,http://dbpedia.org/ontology/Archaea," Methanococcales ,  Palaeococcus ferrophilus ,  Methanothermobacter marburgensis ",0
architect,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:architect," gilberto zorio ,  william talman ,  jacomo ",Architect,http://dbpedia.org/ontology/Architect," José Luis Calderón Cabrera ,  Sheila O'Donnell ,  Robert Roper ",1
architect,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:architect," gai mattiolo ,  lambert sigisbert adam ,  samuel beckett ",Artery,http://dbpedia.org/ontology/Artery," Route 5 (Hong Kong) ,  Posterior humeral circumflex artery ,  Ovarian branch of uterine artery ",0
architect,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:architect," gwen john ,  john burgee ,  william haines ",Scientist,http://dbpedia.org/ontology/Scientist," V. R. Prabodhachandran Nayar ,  Ian Stirling (biologist) ,  Enrique Alba ",0
artery,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:artery," pulmonary microvasculature ,  arteria masseterica ,  portal venous system ",Actor,http://dbpedia.org/ontology/Actor," Jack Denton ,  Michiyo Okusu ,  Helena Gloag ",0
artery,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:artery," coronary artery circulation ,  coratid artery ,  right dorsal aorta ",Airport,http://dbpedia.org/ontology/Airport," Buffalo Narrows Airport ,  Empress Airport ,  Miles Airport ",0
artery,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:artery," palmar digital arteries ,  sub clavian artery ,  carotid arteries ",Architect,http://dbpedia.org/ontology/Architect," Jarvis Hunt ,  Beatrice Hutton ,  Guy Lowell ",0
artery,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:artery," medial tarsal artery ,  posterior gastric artery ,  pudendal arteries ",Artery,http://dbpedia.org/ontology/Artery," Anterior inferior cerebellar artery ,  Vasa nervorum ,  Inferior hypophysial artery ",1
artery,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:artery," axillary sheath ,  bronchial passage ,  abnormal blood vessels ",Artwork,http://dbpedia.org/ontology/Artwork," Sphinx of Naxos ,  Portrait of Cardinal Ludovico Trevisan ,  Homeless Jesus ",0
artery,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:artery," oesophageal branches of inferior thyroid artery ,  anterior cecal arteries ,  infarct related coronary artery ",Bacteria,http://dbpedia.org/ontology/Bacteria," Methylocystis bryophila ,  Amaricoccus ,  Campylobacter jejuni ",0
artery,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:artery," proximal vessel ,  artery inferior labial ,  artery diameter ",Disease,http://dbpedia.org/ontology/Disease," Kasabach–Merritt syndrome ,  Meningism ,  Poly drug use ",0
artery,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:artery," sylvian artery ,  tibial nutrient artery ,  arteria lingularis inferior ",Protein,http://dbpedia.org/ontology/Protein," SYNE2 ,  GPNMB ,  Consumer-resource systems ",0
artery,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:artery," lateral segmental artery of hepatic artery ,  cerebral ventricles ,  vasa nervorum ",Vein,http://dbpedia.org/ontology/Vein," Inferior vena cava ,  Facial vein ,  Pudendal plexus (veins) ",0
artery,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:artery," lateral segmental artery ,  arteria bulbi vaginae ,  esophageal artery ",Winery,http://dbpedia.org/ontology/Winery," Kenwood Vineyards ,  Abadia Retuerta ,  Zarephath Wines ",0
astronaut,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:astronaut," list of nasa missions ,  jack lousma ,  michael sheridan ",Astronaut,http://dbpedia.org/ontology/Astronaut," Valentina Tereshkova ,  Michael Alsbury ,  John D. Olivas ",1
astronaut,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:astronaut," kenneth t  ham ,  michael cramer ,  jose m  hernandez ",MusicalArtist,http://dbpedia.org/ontology/MusicalArtist," Luigi Russolo ,  K. C. Douglas ,  Hayden Chisholm ",0
astronaut,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:astronaut," raymond tan ,  betty alexander ,  john r  alison ",Street,http://dbpedia.org/ontology/Street,,0
athlete,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:athlete," eric wood ,  robin haase ,  john roseboro ",Architect,http://dbpedia.org/ontology/Architect," John W. Dunn (architect) ,  John Outram ,  Alan Hantman ",0
athlete,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:athlete," jayson williams ,  john bale ,  hale irwin ",Athlete,http://dbpedia.org/ontology/Athlete," Babek Nabiyev ,  Morten Petersen ,  Jon Speelman ",1
athlete,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:athlete," mike cammalleri ,  keith urbantom glavine ,  scott davis ",Cheese,http://dbpedia.org/ontology/Cheese," Jameed ,  Limburger ,  Arzúa-Ulloa cheese ",0
athlete,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:athlete," alister mckenzie ,  jason hirsch ,  greg pruitt ",City,http://dbpedia.org/ontology/City," Qasimabad, Hyderabad ,  Yunfu ,  Desert Hot Springs, California ",0
athlete,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:athlete," ryan garko ,  ruddy lugo ,  roscoe miller ",State,http://dbpedia.org/ontology/State,,0
athlete,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:athlete," john stockton ,  jake weber ,  j r  towles ",Street,http://dbpedia.org/ontology/Street,,0
automobileengine,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:automobileengine," v 12 engine ,  bmw l7 engines ,  lexus lx engines ",AutombileEngine,http://dbpedia.org/ontology/AutombileEngine,,1
automobileengine,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:automobileengine," mazda mx6 engines ,  oldsmobile aurora engines ,  pontiac grand am engines ",Automobile,http://dbpedia.org/ontology/Automobile," Paydell ,  Hyundai i20 ,  Speed of the Wind ",0
awardtrophytournament,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:awardtrophytournament," ranking points ,  n2009 super bowl ,  nl central title ",Award,http://dbpedia.org/ontology/Award," Struck idiophone ,  David A. Sowles Memorial Award ,  1992 Kids' Choice Awards ",1
awardtrophytournament,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:awardtrophytournament,"  22 99 ,   1 40 ,  merit scholarship awards ",Race,http://dbpedia.org/ontology/Race," Lone Star Derby ,  Ribblesdale Stakes ,  Sparkassen Giro Bochum ",0
awardtrophytournament,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:awardtrophytournament," national championship titles ,  south carolina open ,  eusebio cup ",SportsLeague,http://dbpedia.org/ontology/SportsLeague," Elite 9 Hockey League ,  Liga Profesional de Baloncesto ,  Paul Faries ",0
bacteria,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bacteria," m  mucogenicum ,  extrapyramidal symptoms ,  francisella philomiragia ",Actor,http://dbpedia.org/ontology/Actor," Hebe Tien ,  Jonathan Morgan (director) ,  Tiger Tyson ",0
bacteria,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bacteria," streptococcus equi subspecies zooepidemicus ,  significant negative correlations ,  bvdv 2 ",Artery,http://dbpedia.org/ontology/Artery," Frontal branch of superficial temporal artery ,  Anterior cecal artery ,  Greater pancreatic artery ",0
bacteria,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bacteria," neurologic effects ,  raphanus sativus ,  aerobic bacteria ",Bacteria,http://dbpedia.org/ontology/Bacteria," Salinibacterium amurskyense ,  Nocardioides aquiterrae ,  Enterococcus faecalis ",1
bacteria,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bacteria," neisseria meningitidis alpha14 ,  pseudonocardia endophytica ,  strand cdna ",Fungus,http://dbpedia.org/ontology/Fungus," Miriquidica ,  Berkleasmium ,  Menegazzia cincinnata ",0
bank,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bank," first national bank of wayne ,  national bank of platteville ,  southern independent bank ",Bank,http://dbpedia.org/ontology/Bank," Virtu Financial ,  FCM Bank Limited ,  Disclosed fees ",1
bank,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bank," premier business bank ,  bank of yazoo city ,  oak hill national bank ",Bone,http://dbpedia.org/ontology/Bone," Superior pubic ramus ,  Bowyer Butte ,  Blackboard ",0
bank,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bank," america s christian credit union ,  john nuveen   co  ,  santiago stock exchange ",Book,http://dbpedia.org/ontology/Book," Death by Sheer Torture ,  Bibliography of the War of 1812 ,  The Left Hand of Darkness ",0
bank,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bank," citizens bank of farmington ,  suntrust equitable securities ,  fedex smartpost ",Park,http://dbpedia.org/ontology/Park," Tilles Memorial City Park ,  Puntchesakut Lake Provincial Park ,  Pirates Cove Marine Provincial Park ",0
bank,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bank," the first national bank of fleming ,  usps international first class mail ,  skg bank ",Park,http://dbpedia.org/ontology/Park," Bees Landing Park ,  Buddha Park of Ravangla ,  Africa Safari Adventure Park ",0
beach,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:beach," xigia beach ,  bethlehem georgia ,  vancleve kentucky ",Beach,http://dbpedia.org/ontology/Beach,,1
beach,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:beach," cucamonga california ,  byron beach ,  alanreed texas ",City,http://dbpedia.org/ontology/City," La Mesa, California ,  Belén de Escobar ,  Al-Eizariya ",0
beach,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:beach," crimdon south beach ,  glen cove beach ,  jersey marine   east beach ",Coach,http://dbpedia.org/ontology/Coach," Terry Gurnett ,  Robert Schmidt (American football) ,  Moon Ducote ",0
beach,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:beach," greenwood state beach ,  mulvane kansas ,  aldrich missouri ",Hospital,http://dbpedia.org/ontology/Hospital," Lower Manhattan Hospital ,  Portland Hospital ,  Simi Valley Hospital ",0
beach,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:beach," honokaa hawaii ,  rosamond illinois ,  glencoe arkansas ",Monarch,http://dbpedia.org/ontology/Monarch," Ashoka's policy of Dhamma ,  Animal Skull ,  Ahhotep II ",0
beach,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:beach," scourie beach ,  amanda ohio ,  aleisha beach ",Stadium,http://dbpedia.org/ontology/Stadium," O'Brien Stadium ,  Hellyer Park Velodrome ,  Railway Cricket Ground, Jaipur ",0
beverage,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:beverage," newcastle brown ,  abbey beer ,  chamomile flower tea ",Beverage,http://dbpedia.org/ontology/Beverage," Zaječarsko pivo ,  Mattia Cola ,  Kick (soft drink) ",1
beverage,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:beverage," osha tea ,  homestyle tomato juice ,  star beer ",Plant,http://dbpedia.org/ontology/Plant," Volvulina ,  Hemizonia congesta ,  Ismene (plant) ",0
bird,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bird," dollar bird ,  bay woodpecker ,  gray throated warbler ",Bird,http://dbpedia.org/ontology/Bird," Diamond firetail ,  Plumbeous warbler ,  Brown-capped babbler ",1
bird,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bird," black fronted parakeet ,  male eagle ,  birdy ",Newspaper,http://dbpedia.org/ontology/Newspaper," The Fed (newspaper) ,  Libero (newspaper) ,  Katholiek Nieuwsblad ",0
boardgame,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:boardgame," online poker sites texas ,  free onl ine texas ,  m poker article ",BoardGame,http://dbpedia.org/ontology/BoardGame,,1
boardgame,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:boardgame," po ker texas ,  em poker for free texas ,  um poker p oker ",Bridge,http://dbpedia.org/ontology/Bridge," Government Bridge ,  Victoria Bridge, Bath ,  Price–Legg Bridge ",0
boardgame,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:boardgame," barshavingtexas ,  balderdash ,  fantastic week ",CardGame,http://dbpedia.org/ontology/CardGame,,0
boardgame,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:boardgame," poker gaming ,  texas holden poker texas ,  next tx ",VideoGame,http://dbpedia.org/ontology/VideoGame," The Path (video game) ,  Chris Taylor's Kings and Castles ,  Baseball (Intellivision video game) ",0
bombingevent,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bombingevent," bombers kill 31 at iraq campaign rally for shiites   the japan times ,  kabul blast ,  ghatkopar blast ",Attack,http://dbpedia.org/ontology/Attack,,#
bombingevent,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bombingevent," nigerian bus station bombing kills 71 on edge of capital ,  blast    ,  barnyard blast ",Continent,http://dbpedia.org/ontology/Continent," Indian subcontinent ,  Eurasia ,  North America ",0
bombingevent,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bombingevent," boston marathon bombings ,  game winning blast ,  bombing of plaza de mayo ",Magazine,http://dbpedia.org/ontology/Magazine," The Rebel (magazine) ,  Ananda Vikatan ,  Stock Car Racing (magazine) ",0
bombingevent,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bombingevent," atlanta bombing ,  n1326222641 , blast ",Monument,http://dbpedia.org/ontology/Monument," Premixed flame ,  Mersin Martyrs' Memorial ,  Monument to the People's Heroes ",0
bombingevent,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bombingevent," hiroshima bombing ,  n2014 peshawar school massacre ,  blasts injure 28 protesters in bangkok ",VideoGame,http://dbpedia.org/ontology/VideoGame," Heroes of Kalevala ,  Snoopy DS: Let's Go Meet Snoopy and His Friends! ,  Hebereke's Popoon ",0
bone,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bone," sexual bone ,  seventh vertebra ,  intramedullary nail ",Bank,http://dbpedia.org/ontology/Bank," Faysal Bank ,  Simmons & Company International ,  Sustainable Asset Management ",0
bone,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bone," medial malleolus ,  first coccygeal vertebra ,  di sono paralleli ",Bone,http://dbpedia.org/ontology/Bone," Terebellum (astronomy) ,  Normal surface ,  Sigmoid sulcus ",1
bone,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bone," second thoracic vertebra ,  infected bone ,  symptoms bone ",Book,http://dbpedia.org/ontology/Book," Speculations (book) ,  Meditations in Green ,  The Melting Pot (comics) ",0
bone,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bone," tibia bone ,  tibial plafond ,  bones  arms ",Song,http://dbpedia.org/ontology/Song," Es ist das Heil uns kommen her ,  Start Over ,  Bird Set Free ",0
bone,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bone," second metacarpal bones ,  zygomatic process ,  distal first metatarsal ",Wine,http://dbpedia.org/ontology/Wine,,0
book,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:book," pets books ,  n15 degrees centigrade ,  mathematics books ",Bank,http://dbpedia.org/ontology/Bank," Robert A. Bennett ,  Cosmos Bank ,  Meridian Interstate Bancorp ",0
book,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:book," true believer ,  n15 degrees celcius ,  n225 degrees f ",Bone,http://dbpedia.org/ontology/Bone," Lap ,  Lambdoid suture ,  Body of humerus ",0
book,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:book," the book of illusions ,  the case of the howling dog ,  scaramouche ",Book,http://dbpedia.org/ontology/Book," Vision of Ezra ,  Nasoendoscopy ,  Mike Roy (comics) ",1
book,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:book," a winter haunting ,  the yellow fairy book ,  career books ",Lake,http://dbpedia.org/ontology/Lake," Bjornesfjorden ,  Lake Lovering ,  Bluff Lake ",0
book,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:book," n100 degrees c ,  very few books ,  contact the commander ",Religious,http://dbpedia.org/ontology/Religious," Hsing Yun ,  Thubten Yeshe ,  Shaykh Syed Mir Mirak Andrabi ",0
book,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:book," n30 degrees celcius ,  a good man is hard to find ,  life copyright ",Zoo,http://dbpedia.org/ontology/Zoo,,0
braintissue,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:braintissue," medial geniculate nucleus ,  posterior cingulate gyri ,  cuneate fasciculus ",Brain,http://dbpedia.org/ontology/Brain," Interpeduncular cistern ,  Pre-locus coeruleus ,  Cerebral crus ",1
bridge,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bridge," loys station covered bridge ,  collar city bridge ,  toronto island airport bridge ",BoardGame,http://dbpedia.org/ontology/BoardGame,,0
bridge,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bridge," hardinge bridge ,  route 130 highway bridge ,  kongolo bridge ",Bridge,http://dbpedia.org/ontology/Bridge," Blauwbrug ,  Highline Bridge (Kansas City, Kansas) ,  Hazen Bridge ",1
bridge,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bridge," swinford bridge ,  southwark bridge ,  tappan zee bridge ",Judge,http://dbpedia.org/ontology/Judge," William Smith (judge) ,  Marc Nadon ,  John M. Facciola ",0
cardgame,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:cardgame," pokerat casinoonnet ,  holdm tournaments ,  hhold ",BoardGame,http://dbpedia.org/ontology/BoardGame,,0
cardgame,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:cardgame," holdem poqer tournament ,  poker columbia ,  poker tournement ",CardGame,http://dbpedia.org/ontology/CardGame,,1
cardgame,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:cardgame," automobile ins policy on line ,  em on net descriptive ,  em poker games ",RecordLabel,http://dbpedia.org/ontology/RecordLabel," Emperor Norton Records ,  Music for Leisure ,  Sub Rosa (label) ",0
cardgame,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:cardgame," em chips ,  poker texas h ,  holdem cruises ",VideoGame,http://dbpedia.org/ontology/VideoGame," Pajama Sam 3: You Are What You Eat from Your Head to Your Feet ,  Mach Rider ,  Bacon Bowl ",0
cave,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:cave," note i ve ,  dunston cave ,  hamilton cave ",Cave,http://dbpedia.org/ontology/Cave," Airmen's Cave ,  Bakers Pit ,  Sidcot Swallet ",1
cave,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:cave," gudenus cave ,  lockport cave ,  grantham cave ",Lake,http://dbpedia.org/ontology/Lake," Livingstones Lakes ,  Sultartangalón ,  Tommys Lake (Michigan) ",0
cave,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:cave," cave hollow arbogast cave ,  coolagh river cave ,  spannagel cave ",Race,http://dbpedia.org/ontology/Race," UCI Cyclo-cross World Championships – Junior men's race ,  New Zealand 2000 Guineas ,  Beverbeek Classic ",0
cave,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:cave," lost cove cave ,  pine hill cave ,  haus ",River,http://dbpedia.org/ontology/River," Mahi River ,  Yug River ,  Wang Ma River ",0
celebrity,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:celebrity," web site use ,  gerard kennedy ,  use articles ",Celebrity,http://dbpedia.org/ontology/Celebrity,,1
celebrity,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:celebrity," use articles money home currency converter currency news financial news reviews currencies contact ,  use back ,  service guidelines ",City,http://dbpedia.org/ontology/City," Cotter, Arkansas ,  Garden Plain, Kansas ,  Bonners Ferry, Idaho ",0
celebrity,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:celebrity," service copyright 2012 ,  site usage ,  service read ",Election,http://dbpedia.org/ontology/Election," Electricity generation ,  Scheduling (production processes) ,  United States presidential election in Michigan, 1844 ",0
celebrity,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:celebrity," service returns ,  bob huntington ,  use materials ",Journalist,http://dbpedia.org/ontology/Journalist," Lester Holloway ,  Scott McCartney ,  Josiah Blackburn ",0
celebrity,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:celebrity," use the purpose ,  page   2008 intuit ,  valeria golino ",Song,http://dbpedia.org/ontology/Song," Something Wonderful (song) ,  The Great Speckled Bird (song) ,  Dan najlepših sanj ",0
celebrity,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:celebrity," vera haitayan ,  john v  lindsay ,  god this page ",Website,http://dbpedia.org/ontology/Website," Maes-e ,  Animator.ru ,  Screen Anarchy ",0
ceo,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:ceo," jennifer townsend ,  charles griffin ,  david sun ",BusinessPerson,http://dbpedia.org/ontology/BusinessPerson," Dan Glickberg ,  Richard Nanula ,  Napoleon Periolat ",#
ceo,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:ceo," service summary ,  use publications ,  service acceptance ",Chef,http://dbpedia.org/ontology/Chef," Sheana Davis ,  Isa Souza ,  Daniel Humm ",0
